Date,Open,High,Low,Close,Volume
2024-01-10,23500,24100,23400,24000,5200000
2024-01-09,23200,23600,23100,23500,4800000
2024-01-08,23400,23800,23200,23300,4500000
2024-01-05,23100,23500,22900,23400,5100000
2024-01-04,22800,23300,22700,23100,4900000
2024-01-03,22600,23000,22500,22900,5300000
2024-01-02,22500,22800,22400,22600,4700000
2023-12-29,22400,22700,22300,22500,3800000
2023-12-28,22300,22600,22200,22400,4100000
2023-12-27,22200,22500,22100,22300,4200000
2023-12-26,22100,22400,22000,22200,4600000
2023-12-25,22000,22300,21900,22100,3900000
2023-12-22,21900,22200,21800,22000,5000000
2023-12-21,21800,22100,21700,21900,4800000
2023-12-20,21700,22000,21600,21800,5200000
2023-12-19,21600,21900,21500,21700,4900000
2023-12-18,21500,21800,21400,21600,5100000
2023-12-15,21400,21700,21300,21500,5300000
2023-12-14,21300,21600,21200,21400,4800000
2023-12-13,21200,21500,21100,21300,4600000
2023-12-12,21100,21400,21000,21200,4900000
2023-12-11,21000,21300,20900,21100,5000000
2023-12-08,20900,21200,20800,21000,5200000
2023-12-07,20800,21100,20700,20900,5100000
2023-12-06,20700,21000,20600,20800,4800000
2023-12-05,20600,20900,20500,20700,4900000
2023-12-04,20500,20800,20400,20600,5100000
2023-12-01,20400,20700,20300,20500,5000000
2023-11-30,20300,20600,20200,20400,4800000
2023-11-29,20200,20500,20100,20300,5200000
