Date,Open,High,Low,Close,Volume
2024-01-10,18900,19300,18800,19100,6200000
2024-01-09,18700,19000,18600,18850,5900000
2024-01-08,18600,18950,18500,18750,6100000
2024-01-05,18400,18800,18300,18600,6300000
2024-01-04,18200,18650,18100,18450,6050000
2024-01-03,18100,18500,18000,18300,6200000
2024-01-02,18000,18400,17900,18150,5800000
2023-12-29,17900,18300,17800,18000,4500000
2023-12-28,17800,18200,17700,17900,4700000
2023-12-27,17700,18100,17600,17800,4900000
2023-12-26,17600,18000,17500,17700,5100000
2023-12-25,17500,17900,17400,17600,4600000
2023-12-22,17400,17800,17300,17500,5400000
2023-12-21,17300,17700,17200,17400,5200000
2023-12-20,17200,17600,17100,17300,5500000
2023-12-19,17100,17500,17000,17200,5000000
2023-12-18,17000,17400,16900,17100,5200000
2023-12-15,16900,17300,16800,17000,5600000
2023-12-14,16800,17200,16700,16900,5100000
2023-12-13,16700,17100,16600,16800,4900000
